BREED,HEIGHT,WEIGHT,LIFE EXPECTANCY,CHARACTERISTICS,GROOMING FREQUENCY,SHEDDING LEVEL,ENERGY LEVEL,TRAINABILITY,TEMPERAMENT/DEMEANOR,description
Affenpinscher,9-11.5 inches,7-10 pounds,12-15 years,"Confident, Famously Funny, Fearless",2-3 Times a Week Brushing,Seasonal,Regular Exercise,Easy Training,Outgoing,"Affenpinscherは犬種です。

体高は9〜29.2cmです。
体重は7〜4.5kgです。
寿命は12〜15 年です。

特徴は自信に満ちています、ユーモアがあります、勇敢です。

適度な運動が必要です。
しつけは容易な傾向があります。
社交的な性格です。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Afghan Hound,25-27 inches,50-60 pounds,12-15 years,"Dignified, Profoundly Loyal, Aristocratic",Daily Brushing,Infrequent,Energetic,May be Stubborn,Aloof/Wary,"Afghan Houndは犬種です。

体高は25〜68.6cmです。
体重は50〜27.2kgです。
寿命は12〜15 年です。

特徴は威厳があります、非常に忠実です、貴族的です。

多くの運動を必要とします。
しつけには根気が必要です。
よそよそしく用心深いです。
毎日のブラッシングが必要です。
抜け毛は少ないです。"
Airedale Terrier,23 inches,50-70 pounds,11-14 years,"Friendly, Clever, Courageous",2-3 Times a Week Brushing,Occasional,Regular Exercise,Eager to Please,Friendly,"Airedale Terrierは犬種です。

体高は58.4cmです。
体重は50〜31.8kgです。
寿命は11〜14 年です。

特徴は友好的です、賢いです、勇敢です。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
週に2〜3回のブラッシングが必要です。
抜け毛はややあります。"
Akita,"26-28 inches (male), 24-26 inches (female)","100-130 pounds (male), 70-100 pounds (female)",10-13 years,"Courageous, Dignified, Profoundly Loyal",Daily Brushing,Seasonal,Energetic,Eager to Please,Alert/Responsive,"Akitaは犬種です。

体高は26〜71.1cm (オス)、 24〜66cm (メス)です。
体重は100〜59kg (オス)、 70〜45.4kg (メス)です。
寿命は10〜13 年です。

特徴は勇敢です、威厳があります、非常に忠実です。

多くの運動を必要とします。
飼い主の期待に応えようとする性格です。
警戒心や対応力が高いです。
毎日のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Alaskan Malamute,"25 inches (male), 23 inches (female)","85 pounds (male), 75 pounds (female)",10-14 years,"Affectionate, Loyal, Playful",2-3 Times a Week Brushing,Seasonal,Energetic,Independent,Friendly,"Alaskan Malamuteは犬種です。

体高は63.5cm (オス)、 58.4cm (メス)です。
体重は38.6kg (オス)、 34kg (メス)です。
寿命は10〜14 年です。

特徴は愛情深いです、忠実です、遊び好きです。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
人懐っこい性格です。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
American Bulldog,22-25 inches (males); 20-23 inches (females),75-100 pounds (males); 60-80 pounds (females),10-12 years,"Loyal, Self-Confident",Occasional Bath/Brush,Seasonal,Energetic,Agreeable,Alert/Responsive,"American Bulldogは犬種です。

体高は22〜63.5cm (オス)、 20〜58.4cm (メス)です。
体重は75〜45.4kg (オス)、 60〜36.3kg (メス)です。
寿命は10〜12 年です。

特徴は忠実です、自信に満ちています。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
American English Coonhound,"24-26 inches (male), 23-25 inches (female)",45-65 pounds,11-12 years,"Sweet, Mellow, Sociable",Occasional Bath/Brush,Occasional,Energetic,Agreeable,Alert/Responsive,"American English Coonhoundは犬種です。

体高は24〜66cm (オス)、 23〜63.5cm (メス)です。
体重は45〜29.5kgです。
寿命は11〜12 年です。

特徴は優しいです、穏やかです、社交的です。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
American Eskimo Dog,"9-12 inches (toy), 12-15 inches (miniature), 15-19 inches (Standard)","6-10 pounds (toy), 10-20 pounds (miniature), 25-35 pounds (standard)",13-15 years,"Playful, Perky, Smart",Weekly Brushing,Seasonal,Energetic,Eager to Please,Outgoing,"American Eskimo Dogは犬種です。

体高は9〜30.5cm （トイ）、 12〜38.1cm （ミニチュア）、 15〜48.3cm （スタンダード）です。
体重は6〜4.5kg （トイ）、 10〜9.1kg （ミニチュア）、 25〜15.9kg （スタンダード）です。
寿命は13〜15 年です。

特徴は遊び好きです、元気です、頭がいいです。

多くの運動を必要とします。
飼い主の期待に応えようとする性格です。
社交的な性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
American Foxhound,"22-25 inches (male), 21-24 inches (female)","65-70 pounds (male), 60-65 pounds (female)",11-13 years,"Independent, Easy-Going, Sweet-Tempered",Occasional Bath/Brush,Seasonal,Energetic,Independent,Friendly,"American Foxhoundは犬種です。

体高は22〜63.5cm (オス)、 21〜61cm (メス)です。
体重は65〜31.8kg (オス)、 60〜29.5kg (メス)です。
寿命は11〜13 年です。

特徴は独立心が強いです、気さくです、温厚です。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
人懐っこい性格です。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
American Hairless Terrier,12-16 inches,12-16 pounds,14-16 years,"Energetic, Alert, Curious",,,DOUBLE CHECK,,,"American Hairless Terrierは犬種です。

体高は12〜40.6cmです。
体重は12〜7.3kgです。
寿命は14〜16 年です。

特徴はエネルギッシュです、警戒心が強いです、好奇心旺盛です。

不明
不明
不明
不明
不明"
